service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250501,20251212
2,1,1,1,1,0,0,0,20250501,20251212
3,0,1,0,0,0,0,0,20250501,20251212
4,0,0,0,1,0,0,0,20250501,20251212
5,0,0,0,0,1,0,0,20250501,20251212
6,1,0,0,0,0,0,0,20250501,20251212
7,0,1,1,1,1,0,0,20250501,20251212
8,1,1,1,0,1,0,0,20250501,20251212
9,1,1,0,1,1,0,0,20250501,20251212
10,1,1,0,1,0,0,0,20250501,20251212
11,0,0,0,0,0,1,0,20250501,20251212
12,0,0,0,0,0,0,1,20250501,20251212
14,0,1,1,0,1,0,0,20250501,20251212
16,0,1,0,1,1,0,0,20250501,20251212
17,0,0,1,0,0,0,0,20250501,20251212
18,1,0,1,1,1,0,0,20250501,20251212
19,0,0,1,1,1,0,0,20250501,20251212
20,0,0,1,1,1,0,0,20250501,20251212
21,1,1,1,1,1,0,0,20250501,20251212
22,1,1,1,1,0,0,0,20250501,20251212
23,0,1,0,0,0,0,0,20250501,20251212
24,0,0,0,1,0,0,0,20250501,20251212
25,0,0,0,0,1,0,0,20250501,20251212
26,1,0,0,0,0,0,0,20250501,20251212
27,0,1,1,1,1,0,0,20250501,20251212
28,1,1,1,0,1,0,0,20250501,20251212
29,1,0,1,0,1,0,0,20250501,20251212
30,1,1,0,1,0,0,0,20250501,20251212
31,1,1,1,1,1,0,0,20250707,20250718
43,0,0,1,0,0,0,0,20250501,20251212
44,1,1,0,1,1,0,0,20250501,20251212
45,1,0,1,1,1,0,0,20250501,20251212
50,0,1,0,1,1,0,0,20250501,20251212
53,1,0,0,1,1,0,0,20250501,20251212
54,0,0,0,1,1,0,0,20250501,20251212
59,1,0,1,0,1,0,0,20250501,20251212
64,1,1,0,0,1,0,0,20250501,20251212
69,1,0,0,0,1,0,0,20250501,20251212
70,1,0,1,0,0,0,0,20250501,20251212
71,0,0,1,0,1,0,0,20250501,20251212
72,1,0,0,0,1,0,0,20250501,20251212
73,0,0,1,0,1,0,0,20250501,20251212
258,0,0,0,0,0,1,0,20250503,20250503
259,0,0,0,0,0,1,0,20250510,20250510
260,0,0,0,0,0,1,0,20250517,20250517
261,0,0,0,0,0,0,1,20250525,20250525
2582,0,0,0,0,0,1,0,20250503,20250503
2583,0,0,0,0,0,1,0,20250503,20250503
2592,0,0,0,0,0,1,0,20250510,20250510
2593,0,0,0,0,0,1,0,20250510,20250510
2602,0,0,0,0,0,1,0,20250517,20250517
2603,0,0,0,0,0,1,0,20250517,20250517
2653,0,0,0,0,0,1,0,20250621,20250621
3001,1,1,1,1,1,0,0,20250501,20250803
3002,0,0,0,0,0,1,0,20250501,20250803
3003,0,0,0,0,0,0,1,20250501,20250803
3501,1,1,1,1,1,0,0,20250804,20251212
3502,0,0,0,0,0,1,0,20250804,20251212
3503,0,0,0,0,0,0,1,20250804,20251212
4102,0,0,0,0,0,1,0,20250621,20250621
4202,0,0,0,0,0,1,0,20250802,20250802
4203,0,0,0,0,0,0,1,20250803,20250803
4501,1,1,1,1,1,0,0,20250501,20251212
4502,0,0,0,0,0,1,0,20250501,20251212
4503,0,0,0,0,0,0,1,20250501,20251212
4506,0,0,0,0,1,0,0,20250501,20251212
4509,1,1,1,1,0,0,0,20250501,20251212
4601,1,1,1,1,1,0,0,20250501,20251212
4602,0,0,0,0,0,1,0,20250501,20251212
4603,0,0,0,0,0,0,1,20250501,20251212
8501,1,1,1,1,1,0,0,20250501,20251212
8502,0,0,0,0,0,1,0,20250501,20251212
8503,0,0,0,0,0,0,1,20250501,20251212
