route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,RouteGroup
100,5,100,Arndale Centre Interchange to Glen Osmond,"via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd, Marion Rd and Cross Rd (operates Monday - Saturday excluding public holidays)",3,https://www.adelaidemetro.com.au/routes/100,243E8C,ffffff,100-101
100B,5,100B,Arndale Centre Interchange / Urrbrae Agricultural High School to Brooklyn Park,"Operates various limited sections of the 100 route on school days only",3,https://www.adelaidemetro.com.au/routes/100B,243E8C,ffffff,100-101
100C,5,100C,Forestville to Urrbrae Argriculture High School,"Operates various limited sections of the 100 route on school days only",3,https://www.adelaidemetro.com.au/routes/100C,243E8C,ffffff,100-101
100N,5,100N,Urrbrae Agriculture High School to Netley,"Operates various limited sections of the 100 route on school days only",3,https://www.adelaidemetro.com.au/routes/100N,243E8C,ffffff,100-101
100P,5,100P,Arndale Centre Interchange to Plympton,"via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd and Marion Rd (terminates at Stop 12 Marion Rd, Plympton)",3,https://www.adelaidemetro.com.au/routes/100P,243E8C,ffffff,100-101
101,5,101,Arndale Centre Interchange to Flinders University,"via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd, Marion Rd and Sturt Rd (operates Monday - Friday excluding public holidays)",3,https://www.adelaidemetro.com.au/routes/101,243E8C,ffffff,100-101
106,5,106,Magill to City,"via Magill Rd and Botanic Rd",3,https://www.adelaidemetro.com.au/routes/106,243E8C,ffffff,106
110,5,110,West Lakes Centre Interchange to City,"via Frederick Rd, Grange Rd and South Rd",3,https://www.adelaidemetro.com.au/routes/110,243E8C,ffffff,110-112
112,5,112,West Lakes Centre Interchange to City,"via Frederick Rd, Grange Rd and South Rd (operates Monday - Friday excluding public holidays)",3,https://www.adelaidemetro.com.au/routes/112,243E8C,ffffff,110-112
117,5,117,Port Adelaide Interchange to City,"via Bartley Tce, West Lakes, Tapleys Hill Rd and Crittenden Rd",3,https://www.adelaidemetro.com.au/routes/117,243E8C,ffffff,117-118
