route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
100,11,942093,Glen Osmond,,1,337,14681,1
100,11,942094,Glen Osmond,,1,3185,14681,1
100,11,942095,Arndale,,0,3124,14678,1
100,11,942096,Glen Osmond,,1,3210,14681,1
100,11,942097,Glen Osmond,,1,3200,14681,1
100,11,942098,Arndale,,0,3254,14678,1
100,11,942099,Arndale,,0,316,14678,1
100,11,942100,Glen Osmond,,1,378,13815,1
100,11,942101,Arndale,,0,378,14678,1
100,11,942102,Arndale,,0,354,14678,1
100,11,942103,Arndale,,0,3183,14678,1
100,11,942104,Glen Osmond,,1,3261,14681,1
100,11,942105,Glen Osmond,,1,3263,14681,1
100,11,942106,Arndale,,0,370,14679,1
100,11,942107,Glen Osmond,,1,3142,13815,1
100,11,942108,Arndale,,0,3142,14678,1
100,11,942109,Arndale,,0,3116,14678,1
100,11,942110,Arndale,,0,3175,14679,1
100,11,942111,Glen Osmond,,1,3175,14681,1
100,11,942112,Glen Osmond,,1,3108,14681,1
100,11,942113,Glen Osmond,,1,3178,14681,1
100,4,1022306,Glen Osmond,,1,3665,14681,1
100,4,1022307,Arndale,,0,3349,14678,1
100,17,1022308,Glen Osmond,,1,3413,14681,1
100,17,1022310,Glen Osmond,,1,3608,14681,1
100,17,1022311,Arndale,,0,3665,14678,1
100,17,1022312,Glen Osmond,,1,3665,14681,1
100,3,1022313,Glen Osmond,,1,3665,14681,1
100,3,1022314,Arndale,,0,3349,14678,1
100,7,1022315,Arndale,,0,393,14678,1
100,7,1022316,Arndale,,0,3480,14678,1
100,6,1022317,Arndale,,0,393,14678,1
100,6,1022318,Arndale,,0,3480,14678,1
100,69,1022319,Glen Osmond,,1,3665,14681,1
100,59,1022320,Arndale,,0,3349,14678,1
100,9,1022321,Glen Osmond,,1,3413,14681,1
100,1,1022322,Glen Osmond,,1,3584,14681,1
100,9,1022323,Arndale,,0,3665,14678,1
100,9,1022324,Glen Osmond,,1,3608,14681,1
100,1,1022325,Glen Osmond,,1,3472,14681,1
100,1,1022326,Glen Osmond,,1,3419,14681,1
100,21,1022327,Arndale,,0,3626,14680,1
100,1,1022328,Glen Osmond,,1,3559,14681,1
100,21,1022329,Arndale,,0,356,14678,1
100,1,1022330,Glen Osmond,,1,366,14681,1
100,1,1022331,Arndale,,0,3263,14678,1
100,1,1022332,Arndale,,0,3121,14678,1
100,1,1022333,Glen Osmond,,1,3580,14681,1
100,1,1022334,Arndale,,0,3456,14678,1
100,1,1022335,Glen Osmond,,1,3526,14681,1
100,1,1022336,Arndale,,0,3140,14678,1
100,1,1022337,Arndale,,0,345,14678,1
100,1,1022338,Arndale,,0,3118,14678,1
100,1,1022339,Glen Osmond,,1,3152,14681,1
100,1,1022340,Arndale,,0,3554,14678,1
100,1,1022341,Glen Osmond,,1,3408,14681,1
100,1,1022342,Glen Osmond,,1,348,14681,1
100,1,1022343,Glen Osmond,,1,3661,14681,1
100,1,1022344,Arndale,,0,3330,14678,1
100,1,1022345,Glen Osmond,,1,328,14682,1
